"ID","Imagen","Codidgo","Nombre","Tipo","Categoria","Cantidad","Impuesto","Metodo","Costo","Precio"
"1119","","3077","Bolso de hombro Ahdorned 3077 camel","Standard","General","0.00","0","Inclusivo","350.00","355.00"
"1118","","3076","Cartera Anne Klein 3076 slim bifold wallet Grass Green","Standard","General","0.00","0","Inclusivo","323.00","325.00"
"1117","","3075","Bolso de hombro Nautica 3075 Navigator foldover phone","Standard","General","0.00","0","Inclusivo","392.00","395.00"
"1116","","3074","Cartera Anne Klein 3074 Wristlet wallet black Faux croc","Standard","General","0.00","0","Inclusivo","323.00","325.00"
"1115","","3073","Bolso de hombro Calvin  Klein 3073 Basalt","Standard","General","1.00","0","Inclusivo","583.66","780.00"
"1114","","3072","Cartera Ralp Lauren 3072  Adair print calf hair","Standard","General","0.00","0","Inclusivo","583.66","685.00"
"1113","","3071","Tarjetero Ralp Lauren 3071 leather zip card case","Standard","General","0.00","0","Inclusivo","480.00","480.00"
"1112","","3070","Bolsa Guess 3070 nearwood belt bag factory us","Standard","General","0.00","0","Inclusivo","583.66","700.00"
"1111","","3069","Bolsa Michael Kors 3069 mini bag in natural Lyst Uk","Standard","General","0.00","0","Inclusivo","583.66","800.00"
"1110","","3068","Bolso Kate Spade 3068 Racing Stripe canvas large tote","Standard","General","0.00","0","Inclusivo","583.66","1,500.00"
"1109","","3067","Bolso Nautica 3067 crema","Standard","General","0.00","0","Inclusivo","583.66","730.00"
"1108","","3066","Bolso Giani Bernini 3066 Saffiano dome Satchel black","Standard","General","1.00","0","Inclusivo","583.66","700.00"
"1107","","3065","Bolso Giani Bernini 3065 Block sig Tulip tote","Standard","General","0.00","0","Inclusivo","583.66","780.00"
"1106","","3064","Bolso Giani Bernini 3064 Nappa Clasicc Leather Tote","Standard","General","0.00","0","Inclusivo","583.66","800.00"
"1105","","3063","Bolso Anne Klein 3063 Embossed logo chain tote","Standard","General","0.00","0","Inclusivo","583.66","700.00"
"1104","","3062","Bolso Jessica Simpson 3062 black quilted Stephi satchel","Standard","General","0.00","0","Inclusivo","583.66","800.00"
"1103","","3061","Bolso BCBG 3061 celeste","Standard","General","0.00","0","Inclusivo","400.00","500.00"
"1102","","3060","Bolsa DKNY 3060 Theo crescent negro","Standard","General","0.00","0","Inclusivo","583.66","1,000.00"
"1101","","3059","Bolso Anne Klein 3059 top zip elemental blue","Standard","General","0.00","0","Inclusivo","583.66","685.00"
"1100","","3058","Bolso Anne Klein 3058 mini convertible Chestnut","Standard","General","0.00","0","Inclusivo","583.66","685.00"
"1099","","3057","Bolso Juicy Couture 3057 gothic dots black taupe","Standard","General","0.00","0","Inclusivo","583.66","700.00"
"1098","","3056","Bolsa Nautica 3056 tote de cuero nappa","Standard","General","0.00","0","Inclusivo","501.00","530.00"
"1097","","3055","Bolsa Kate Spade 3055 Sam Icon Ks green","Standard","General","0.00","0","Inclusivo","583.66","1,600.00"
"1096","","3054","Bolsa INC 3054 Silbell 2-1 Garden Flower","Standard","General","0.00","0","Inclusivo","583.66","685.00"
"1095","","3053","Bolsa Anne Klein 3053 rosado con monograma","Standard","General","0.00","0","Inclusivo","450.00","550.00"
"1094","","3052","Bolsa DKNY 3052 Elissa SM shoulder celeste","Standard","General","0.00","0","Inclusivo","583.66","1,050.00"
